main_id,ra,dec,plx_value
"LP  881-64",6.184072878621667,-27.14035089794833,129.3167
"NAME G 192-13b",90.29602297717082,59.597190018169165,129.3014
"G 192-13",90.29602297717082,59.597190018169165,129.3014
"HD 165222",271.2815781328108,-3.0313192179638886,129.2184
"G 109-35",104.87006874422794,19.348849408348055,128.9866
"G 227-22",270.5691827808592,64.26228933348445,128.3057
"WISEP J180026.60+013453.1",270.11032772316537,1.5824708462352777,128.0546
"* p Eri",24.94808137260525,-56.19641657720309,127.84
"G 202-45",246.0388071440814,48.3530854370768,127.4785
"WISE J000517.48+373720.5",1.3192249999999999,37.62312480555555,126.9
"2MASS J07290002-3954043",112.250104,-39.901222,126.3
"G 154-44",271.8868237931912,-15.963074553830275,125.4509
"SCR J0740-4257",115.049196549005,-42.96119221425862,125.3028
"CD-44  3045",104.44417762918835,-44.29119770526807,124.85
"* pi.03 Ori",72.46004668811875,6.961277950629445,124.6198
"CD-44  3045A",104.44427172710292,-44.291178357890836,124.5695
"CD-44  3045B",104.44375008608293,-44.291093883489445,124.3569
"GJ 1151 c",177.74050219134625,48.37737810642361,124.3378
"GJ 1151 b",177.74050219134625,48.37737810642361,124.3378
"G 122-49",177.74050219134625,48.37737810642361,124.3378
"L  399-68",190.19287249344916,-43.566386594184436,124.1851
"* chi Dra",275.2640939542736,72.73284772361531,124.11
"Wolf  437b",191.98593570549582,9.751398796318611,123.7756
"Wolf  437",191.98593570549582,9.751398796318611,123.7756
"2MASSW J2148162+400359",327.06791107888955,40.0664810699475,123.6752
"G 262-15",307.6335224872163,65.44955871051779,123.6547
"G  13-22",183.5689540088558,0.6239895692830557,123.643
"L  674-15",123.17037072007041,-21.551939599598054,123.2033
"EGGR 290",89.10608328686959,5.363456437908611,123.1989
"IRAS 21500+5903",327.9096642688307,59.294407739507,123.0568
"BD+18  3421b",264.472278507312,18.59171224901472,122.5546
"BD+18  3421",264.472278507312,18.59171224901472,122.5546
"LAWD 26",118.28393292542376,-67.79205055873194,122.413
"UGPS J052127.27+364048.6",80.36457887499999,36.678112999999996,122.2
"* p Eri A",24.94921956595,-56.193317864549996,122.1088
"* p Eri B",24.948186303551665,-56.196448108297496,122.0035
"L  173-19",30.159534584779998,-55.96795135746,121.7084
"HD 217357",345.067175625525,-22.52434713235611,121.4724
"Ross  318",15.634314289452085,71.67981562782612,121.4598
"CD-68    47",17.5953370754902,-67.4449857386019,121.4487
"WISE J115013.85+630241.5",177.55512854166668,63.046419666666665,121.4
"* mu.02 Her B",266.60399587714414,27.71680285946722,120.3979
"G 207-16",286.929114,32.544917,120.2
"2MASS J03480772-6022270",57.03217099999999,-60.374184,120.1
"LAWD 96",0.5446841568745833,-43.16538627185055,120.0143
"* mu.01 Her",266.61478040032705,27.720711383034715,119.9248
"* mu.02 Her A",266.60493981566447,27.71728631494333,119.8871
"* mu.02 Her",266.60491210506996,27.717260212056107,119.7908
"Wolf  489",204.1327174331333,3.679428381485,119.7566
"G 227-29",275.61289483141206,62.050485173746935,119.7519
"GJ 1289 b",355.77629932197993,36.53698258398916,119.5794
"G 130-4",355.77629932197993,36.53698258398916,119.5794
"HD  32450A",75.61862685681001,-21.256681956145552,119.5737
"SCR J1138-7721",174.5698939070404,-77.36349608409805,119.3419
"HD  32450",75.61862897601584,-21.256678555245557,119.3399
"SCR J1546-5534",236.6737137970979,-55.579857349804165,119.0962
"HD  32450B",75.61829843722624,-21.25659105281861,118.825
"2MASS J00345157+0523050",8.714904,5.384748999999999,118.8
"UCAC4 747-070768",327.91711538437994,59.29301527743,118.1551
"* bet CVn",188.43560104856124,41.35747815357195,118.0266
"Ross   64",96.17202029176333,23.43303780467056,117.7263
"CD-37 10765B",245.01316938027583,-37.53007599433305,117.6791
"G  89-32",114.1046592,7.0786498,117.59
"CD-37 10765",245.01461430242622,-37.529001945943605,117.4716
"CD-32  5613",130.38512118770709,-32.94247661762805,117.3961
"*  61 Vir b",199.60130827686294,-18.311193819050562,117.1726
"*  61 Vir c",199.60130827686294,-18.311193819050562,117.1726
"*  61 Vir d",199.60130827686294,-18.311193819050562,117.1726
"*  61 Vir",199.60130827686294,-18.311193819050562,117.1726
"EGGR 453",343.47243822263164,-6.781802285604999,117.1388
"Wolf  461",195.1396757483258,5.6855546167733335,117.0327
"WISE J040235.40-265144.5",60.644989249999995,-26.860745555555557,116.4
"L   49-19",343.9396364984221,-75.45866767609972,116.3134
"NAME CD Cet b",48.345489612647086,4.7748157078130555,116.2678
"V* CD Cet",48.345489612647086,4.7748157078130555,116.2678
"* zet Tuc",5.017744306231667,-64.87479366391888,116.1826
"LP  502-56",232.62636580561997,9.43373405966,116.0425
"LP  666-9",133.40066866588333,-3.492277084874167,115.4876
"* chi01 Ori",88.59576245541668,20.276172788333334,115.43
"V* AP Col",91.21728608352957,-34.55993734543028,115.3982
"SIPS J1141-3624",175.339671002995,-36.409600673629726,115.0835
"G  19-7",254.27390092847003,-4.348977231630556,114.9158
"LP  991-84",24.840538273630003,-39.60249153981,114.604
"* ksi UMa Bb",169.54515004808545,31.529117136364995,114.4867
"* ksi UMa B",169.54515004808545,31.529117136365,114.4867
"LSPM J0036+1821",9.067132871325832,18.352857407212777,114.4735
"HD  50281",103.07521060112417,-5.1737126663641675,114.3547
"HD  50281B",103.07517297507626,-5.1900117587425,114.2911
"SCR J0630-7643",97.69429500000001,-76.71915899999999,114.11
"BD+36  2219",177.78056896065206,35.2720133940175,114.0854
"WISENF J193656.08+040801.2",294.2346692916667,4.137063388888889,113.9
"*  41 Ara",259.7659897989304,-46.63623344916972,113.7513
"HD 192310b",303.8224640668642,-27.032975451495552,113.4872
"HD 192310c",303.8224640668642,-27.032975451495552,113.4872
"HD 192310",303.8224640668642,-27.032975451495552,113.4872
"BD-05  5715c",332.41810130710456,-4.640736321655555,113.4447
"BD-05  5715b",332.41810130710456,-4.640736321655555,113.4447
"BD-05  5715",332.41810130710456,-4.640736321655555,113.4447
"*  41 Ara B",259.7623699927408,-46.636974471290834,113.2858
"Ross  730",286.77318590886,20.88803900488139,113.2521
"HD 349726",286.8050164601596,20.877016155173056,113.2228
"L   32-8",98.44485500705666,-75.62497325956971,113.1318
"L   32-9",98.43032266792957,-75.6299878581911,113.1304
"HD  32147",75.20416393843666,-5.7536734242200005,113.0715
"G 111-47",119.55292527523501,41.303698563710554,112.9927
"V* FL Aqr",339.6886719912471,-20.614391732358335,112.9867
"HIP 60559b",186.2187625272683,-18.24229364862556,112.674
"Ross  695",186.2187625272683,-18.24229364862556,112.674
"SCR J0630-7643A",97.69362742350877,-76.71933455572416,112.6584
"LEHPM 3396",53.550910309240415,-49.89222999879111,112.61
"SCR J0630-7643B",97.69474870015958,-76.71890082710138,112.5988
"Gaia DR2 2090670890062670080",282.83309000900005,33.18600255906055,112.5653
"WISE J181006.21-101000.3",272.52575,-10.166805555555555,112.5
"V* AK Lep",86.11056968146708,-22.421837361250283,112.4661
"V* FK Aqr",339.6898942660854,-20.621135401965557,112.3859
"* gam Lep",86.115794237325,-22.448385487848334,112.296
"G 113-20",124.0332554682696,1.3025736681475,111.8698
"G 193-27",105.98220640367207,52.70182443892555,110.8263
"V* SZ UMa",170.0201102151292,65.84648594454832,110.2305
